[2025-07-11 17:26:38] 程序启动
[2025-07-11 17:26:38] 初始训练完成
[2025-07-11 17:43:38] 程序启动
[2025-07-11 17:43:38] 初始训练完成
[2025-07-11 17:44:00] 人工标注-用户输入: hi
[2025-07-11 17:44:03] 人工标注-期望AI回复: hi
[2025-07-11 17:44:03] 完成一次自我学习
[2025-07-11 17:44:09] AI自动-用户输入: hi
[2025-07-11 17:44:09] AI自动-回复: ah+a
[2025-07-11 17:44:11] AI自动-用户输入: hi
[2025-07-11 17:44:11] AI自动-回复: ah+a
[2025-07-11 17:44:11] AI自动-用户输入: hi
[2025-07-11 17:44:11] AI自动-回复: ah+a
[2025-07-11 17:44:11] AI自动-用户输入: hi
[2025-07-11 17:44:11] AI自动-回复: ah+a
[2025-07-11 17:44:13] 开始自主学习
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.8548
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.7503
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.6637
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.5926
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.5346
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.4873
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.4489
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.4176
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.3919
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.3707
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.3532
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.3386
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.3263
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.3159
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.3071
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2996
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2932
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2877
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2828
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2786
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2748
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2713
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2682
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2652
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2625
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2599
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2574
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2550
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2526
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2503
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2480
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2457
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2434
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2412
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2390
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2367
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2345
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2322
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2300
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2278
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2255
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2233
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2210
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2188
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2166
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2143
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2121
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2099
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2077
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2054
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2032
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.2010
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1988
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1966
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1944
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1922
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1900
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1878
[2025-07-11 17:44:13] 自主学习本轮平均损失: 0.1857
