[2025-07-11 16:32:01] 程序启动
[2025-07-11 16:32:01] 初始训练完成
[2025-07-11 16:32:06] 用户输入指令: K
[2025-07-11 16:32:06] 开始自主学习
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0364
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0363
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0363
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:06] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0363
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0363
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:07] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:08] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0363
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0367
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0363
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0362
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:09] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:10] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:10] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:10] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:10] 自主学习本轮平均损失: 0.0361
[2025-07-11 16:32:10] 自主学习本轮平均损失: 0.0361
